Oral_Comm,Writ_Comm,Crit_Think,Phys_Sci,Bio_Sci,Sci_Labs,Math,Arts,Hum,Arts_Hum,Amer_Hist_Gov,Institutions,Self_Dev,Ethnic_Stds
,,,GEOL 207L,,BIOL 110L,,MUS 101,ENGL 227,MUS 101,,ENVS 200,,
,,,GEOL 208,,BIOL 115L,,MUS 102,ENGL 228,MUS 102,,GEOG 102,,
,,,GEOL 209,,BIOL 120L,,MUS 103,ENGL 230A,MUS 103,,GEOG 105,,
,,,PS 100,,BIOL 200L,,MUS 104,ENGL 230B,MUS 104,,GEOG 140,,
,,,PS 112,,BIOL 201L,,MUS 104B,ENGL 231,MUS 104B,,HIST 110,,
,,,PHYS 100L,,BOT 120L,,MUS 105,ENGL 232,MUS 105,,HIST 120,,
,,,PHYS 101L,,MICR 200L,,MUS 180,ENGL 233,MUS 180,,HIST 204,,
,,,PHYS 102L,,ZOOL 120L,,PHOT 100,ENGL 234,PHOT 100,,HIST 210,,
,,,PHYS 201L,,,,PHOT 160,ENGL 235,PHOT 160,,HIST 220,,
,,,PHYS 202L,,,,TH 101,ENGL 236,TH 101,,HIST 221,,
,,,PHYS 203L,,,,TH 102,ENGL 237,TH 102,,HIST 230,,
,,,,,,,TH 103,ENGL 238,TH 103,,HIST 235,,
,,,,,,,TH 104,ENGL 239,TH 104,,HIST 241,,
,,,,,,,TH 150,ENGL 245,TH 150,,HIST 242,,
,,,,,,,RTV/TH 151,ENGL 246A,RTV/TH 151,,HIST 245,,
,,,,,,,RTV 152,ENGL 246B,RTV 152,,HIST 246,,
,,,,,,,WGS 118 CL,ENGL 248A,WGS 118 CL,,HIST 250,,
,,,,,,,,ENGL 248B,AFRS 226 CL,,HIST 255,,
,,,,,,,,ENGL 249,ASL 110,,HIST 260,,
,,,,,,,,ENGL 257,ASL 111,,HIST 265,,
,,,,,,,,ETHN 104 CL,ASL 210,,HIST 275,,
,,,,,,,,FREN 101,ASL 211,,HUM 107,,
,,,,,,,,FREN 102,ASL 220,,JOUR 100,,
,,,,,,,,FREN 201,ART 108 CL,,KIN 108,,
,,,,,,,,FREN 202,ART 109 CL,,KIN 211,,
,,,,,,,,FREN 203,ART 124,,POL 110,,
,,,,,,,,FREN 281,ART 125,,POL 210,,
,,,,,,,,FREN 282,ART 207,,POL 220,,
,,,,,,,,FREN 283,CHIN 101,,POL 230,,
,,,,,,,,FREN 285,CHIN 102,,POL 240,,
,,,,,,,,GERM 101,CHIN 201,,POL 250,,
,,,,,,,,GERM 102,CHIN 202,,POL 260,,
,,,,,,,,GERM 201,CHIN 260,,POL 280,,
,,,,,,,,GERM 202,COMM 140,,PSYC 101,,
,,,,,,,,HIST 101,ENGL 102,,PSYC 150,,
,,,,,,,,HIST 102,ENGL 106,,PSYC 251,,
,,,,,,,,HIST 103,ENGL 221A,,PSYC 261,,
,,,,,,,,HIST 110,ENGL 221B,,PSYC 265,,
,,,,,,,,HIST 120,ENGL 222,,PSYC 271,,
,,,,,,,,HIST 210,ENGL 223,,PSYC 275,,
,,,,,,,,HIST 220,ENGL 224,,SOC 101,,
,,,,,,,,HIST 221,ENGL 225,,SOC 110,,
,,,,,,,,HIST 230,ENGL 226 CL,,SOC 120,,
,,,,,,,,HIST 235,ENGL 227,,SOC 201,,
,,,,,,,,HIST 241,ENGL 228,,SOC 202 CL,,
,,,,,,,,HIST 242,ENGL 230A,,SOC 205,,
,,,,,,,,HIST 245,ENGL 230B,,SOC 210,,
,,,,,,,,HIST 246,ENGL 231,,SOC 215,,
,,,,,,,,HIST 250,ENGL 232,,SOC 230,,
,,,,,,,,HIST 255,ENGL 233,,SOC 250,,
,,,,,,,,HIST 260,ENGL 234,,WGS 101,,
,,,,,,,,HIST 265,ENGL 235,,WGS 105,,
,,,,,,,,HIST 275,ENGL 236,,WGS 107,,
,,,,,,,,HUM 100,ENGL 237,,WGS 108 CL,,
,,,,,,,,HUM 108 CL,ENGL 238,,WGS 115,,
,,,,,,,,HUM 109 CL,ENGL 239,,WGS 140,,
,,,,,,,,HUM 125 CL,ENGL 245,,WGS 202 CL,,
,,,,,,,,JAPN 101,ENGL 246A,,WGS 204 CL,,
,,,,,,,,JAPN 102,ENGL 246B,,WGS 205,,
,,,,,,,,JAPN 201,ENGL 248A,,WGS 206 CL,,
,,,,,,,,JAPN 202,ENGL 248B,,WGS 209,,
,,,,,,,,PHIL 100,ENGL 249,,WGS 250,,
,,,,,,,,PHIL 102,ENGL 257,,,,
,,,,,,,,PHIL 104 CL,ETHN 104 CL,,,,
,,,,,,,,PHIL 105,FREN 101,,,,
,,,,,,,,PHIL 107,FREN 102,,,,
,,,,,,,,PHIL 108,FREN 201,,,,
,,,,,,,,PHIL 109 CL,FREN 202,,,,
,,,,,,,,PHIL 130,FREN 203,,,,
,,,,,,,,PHIL 140,FREN 281,,,,
,,,,,,,,PHIL 200,FREN 282,,,,
,,,,,,,,PHIL 201,FREN 283,,,,
,,,,,,,,PHIL 203,FREN 285,,,,
,,,,,,,,PHIL 204,GERM 101,,,,
,,,,,,,,PHIL 205,GERM 102,,,,
,,,,,,,,PHIL 206,GERM 201,,,,
,,,,,,,,PHOT 150,GERM 202,,,,
,,,,,,,,POL 240,HIST 101,,,,
,,,,,,,,SPAN 101,HIST 102,,,,
,,,,,,,,SPAN 102,HIST 103,,,,
,,,,,,,,SPAN 111,HIST 110,,,,
,,,,,,,,SPAN 112,HIST 120,,,,
,,,,,,,,SPAN 201,HIST 210,,,,
,,,,,,,,SPAN 202,HIST 220,,,,
,,,,,,,,SPAN 210,HIST 221,,,,
,,,,,,,,SPAN 245,HIST 230,,,,
,,,,,,,,SPAN 260,HIST 235,,,,
,,,,,,,,SPAN 285,HIST 241,,,,
,,,,,,,,WGS 102,HIST 242,,,,
,,,,,,,,WGS 109 CL,HIST 245,,,,
,,,,,,,,WGS 207 CL,HIST 246,,,,
,,,,,,,,,HIST 250,,,,
,,,,,,,,,HIST 255,,,,
,,,,,,,,,HIST 260,,,,
,,,,,,,,,HIST 265,,,,
,,,,,,,,,HIST 275,,,,
,,,,,,,,,HUM 100,,,,
,,,,,,,,,HUM 108 CL,,,,
,,,,,,,,,HUM 109 CL,,,,
,,,,,,,,,HUM 125 CL,,,,
,,,,,,,,,JAPN 101,,,,
,,,,,,,,,JAPN 102,,,,
,,,,,,,,,JAPN 201,,,,
,,,,,,,,,JAPN 202,,,,
,,,,,,,,,PHIL 100,,,,
,,,,,,,,,PHIL 102,,,,
,,,,,,,,,PHIL 104 CL,,,,
,,,,,,,,,PHIL 105,,,,
,,,,,,,,,PHIL 107,,,,
,,,,,,,,,PHIL 108,,,,
,,,,,,,,,PHIL 109 CL,,,,
,,,,,,,,,PHIL 130,,,,
,,,,,,,,,PHIL 140,,,,
,,,,,,,,,PHIL 200,,,,
,,,,,,,,,PHIL 201,,,,
,,,,,,,,,PHIL 203,,,,
,,,,,,,,,PHIL 204,,,,
,,,,,,,,,PHIL 205,,,,
,,,,,,,,,PHIL 206,,,,
,,,,,,,,,PHOT 150,,,,
,,,,,,,,,POL 240,,,,
,,,,,,,,,SPAN 101,,,,
,,,,,,,,,SPAN 102,,,,
,,,,,,,,,SPAN 111,,,,
,,,,,,,,,SPAN 112,,,,
,,,,,,,,,SPAN 201,,,,
,,,,,,,,,SPAN 202,,,,
,,,,,,,,,SPAN 210,,,,
,,,,,,,,,SPAN 245,,,,
,,,,,,,,,SPAN 260,,,,
,,,,,,,,,SPAN 285,,,,
,,,,,,,,,WGS 102,,,,
,,,,,,,,,WGS 109 CL,,,,
,,,,,,,,,WGS 207 CL,,,,
